,Head1,Head2,Head3,Head4,Head5,Head6,Head7,Head8
RPL21,0.06659686330293478,0.052823619687053146,0.06862356144637681,0.043401039671678736,0.04879898985161835,0.08075328961283817,0.0686025988731884,0.0626470312896739
UBA52,0.06658569222512077,0.05398398992071256,0.0719056008961389,0.043910171308297094,0.04972438540527778,0.0794647156904227,0.07602651898671497,0.06699588304956763
TOMM7,0.06645055211461352,,,,,,,
RPS2,0.06557173976585749,0.04993201911002416,0.05939323174503985,0.04040796888363336,0.04625409013886473,0.10799957104028986,0.07821286835362319,0.06373571664541063
RPL18A,0.06555779368051932,,0.06227610021944444,,,0.07361464443937198,,0.0591456068305314
HSP90AB1,0.06550738849541062,0.05146146692053139,0.0697847388468599,0.04722827122705314,0.04532066600905797,,,0.06713679020907004
MT-CYB,0.06538948249480676,,0.06289421170543479,0.03874813318683575,0.04765388332971014,,0.0702566878138285,0.06219644388200483
NEAT1,0.06521781317379226,,,,,,,
HLA-B,0.06448417870833334,0.056946627224130436,0.06440984357777778,0.04430160277380435,0.0545777469510628,0.11228555320213769,0.07784348615422705,0.062299669593961354
RPL11,0.06437362356147162,,0.06235405859694444,,,,,0.062074700462318846
CD74,0.06432474885205314,,,0.038302577826932374,,,0.06923008376316425,0.05950535237838165
S100A11,0.06425467932900966,,0.05938184067309179,0.041354592444806756,,0.08926506089335749,,
RPLP0,0.06419352039770532,,0.06176817388698068,,,,,0.06231568963371981
HLA-C,0.06403171007439613,0.05050181654113526,,,0.04413368287678744,0.09562775367536232,0.07993548176304348,0.06852645522149758
RPL23A,0.0640249385263285,,,,,,,
H3-3B,0.06391070559492754,,,0.04399815152408212,0.04556334713073672,,0.0727056128763285,0.06326633518538646
RPL36AL,0.06389389634818841,,,,,,,
ATP5MG,0.06317232276618358,,,,,,,
SRP14,0.06311268239381643,0.051189029857608696,,0.03977533304094203,,,,
EEF2,0.0631096003807971,,,,,,,
S100A6,,0.06880978900550724,0.07614523925809179,0.04626208095157005,0.04497472651884058,0.07487660965637682,0.0757833004676087,0.07471477571739131
CFL1,,0.055508562405748786,0.06343645835422705,0.04157682231698067,0.04448275973743961,0.10832653779480676,0.07532843764444444,0.06713846179396137
UBL5,,0.0545756606668116,0.06326793562355074,,,,0.07144854444045894,
SNHG29,,0.054243257973454105,,0.039399428591304346,,0.07318436345821257,,
RPS10,,0.05415761880664251,0.0691661618521256,0.04401642620012078,0.04770445395057971,,0.07464214375062801,0.06603410851932366
GNAS,,0.053227659368961365,0.06486657467294686,,0.046238136090915885,,,
B2M,,0.051929098264794686,0.05940127066847825,0.03887117556247585,0.05056787254017874,0.11079078105833333,0.08565283396775362,0.05993773428070048
ATP6V0E1,,0.051606663299263285,0.07046664988971016,,0.04408468222055555,,,0.062206339086473425
PPIA,,0.05119921805097826,0.06356612705881642,0.043485935875157006,,,0.0685219369880797,0.06106973396896135
RPL37A,,0.04985388582088889,0.06244009422942029,,,,,0.05985962460562802
HSPA8,,0.049500318475000006,0.061556387138260865,,,0.07406701982729469,0.06875842075198067,0.06333293923357489
RPS29,,0.048935429941908214,0.059698513478466185,0.045068458652669084,0.043830496193707734,0.12755736770507245,0.07783730817747585,0.07535838185881644
MT-ND4,,0.04837612679804348,,0.04042960179698068,,,0.06684633428429952,
RPLP1,,0.04824859978819324,,0.04745141463101691,0.04636008226094203,0.11081233493599034,0.08513446950024156,0.065050117780314
RPS11,,0.04801694596171498,,0.03899666223448068,,,0.07722057088141306,0.06048342014832126
JUN,,0.04766259653502416,,,0.04413017398900966,,,
JUND,,0.04756676006513285,0.0625460105837186,,0.04691533191107488,,,0.06286857765094203
ARPC2,,0.04745095018638044,,,,0.09152784365833334,0.0798383390402174,
ATP5F1E,,,0.06157257234695652,0.03923708614202898,,,,0.05971952279519324
PPIB,,,0.0614262659080918,,0.0466361249986715,,,
CD81,,,0.06106486418635266,,,,,
IER2,,,0.05977324629178744,,,0.08173163712439613,0.06931204443961352,0.05986194689682367
DUSP1,,,0.059351145989734296,,,,,
HLA-A,,,,0.04376444427777778,0.052109111576509666,0.09995555356702897,0.07164092132137681,0.06347501061219807
RPL12,,,,0.04210550450362319,0.04596005608562802,,,
ITM2B,,,,0.041820955524420285,,,,
HLA-E,,,,0.04036835894740338,0.04903912615083091,0.1179166569915459,,
MT-ND2,,,,0.03886402766811595,,0.07839264876086956,0.06738084607608695,
NFKBIA,,,,0.03842276519667875,0.046376484493985515,0.11071589577850242,0.0821597934152174,
CALR,,,,0.03841749487958936,0.04546434688013285,0.07417504701811593,,
MT-ND1,,,,,0.04570926227500001,0.07862082904201691,0.07329247946944444,
RPS6,,,,,0.044573043342753624,,,
RPL8,,,,,0.0434114721457971,,,
HSPE1,,,,,,0.0941708786031401,0.06862606684347826,
MT-ND3,,,,,,0.09367499863804347,0.06882341235048309,
FOS,,,,,,0.09177641448743962,0.06806413398538647,
JUNB,,,,,,0.08499361345688405,,
ACTB,,,,,,0.08458864255785023,,
SH3BGRL3,,,,,,0.08439633101002415,0.0710837266910628,
BTG1,,,,,,0.08431473002572464,,
PNRC1,,,,,,0.08382025565073671,,
S100A4,,,,,,0.08171958596702898,,
ARHGDIB,,,,,,0.0802228194210145,,
DNAJB1,,,,,,0.07949621301002416,,
HSPA1A,,,,,,0.07824043133985507,,
FCGRT,,,,,,0.077970857470314,,
H2AZ1,,,,,,0.07684202599216183,,
CST3,,,,,,0.07622507069359903,,
TSC22D3,,,,,,0.07394940043115943,,
RPL27A,,,,,,0.07331456855193237,,
TUBA1B,,,,,,0.07263936548188406,,
TSPO,,,,,,0.07229867162312802,,
VIM,,,,,,,,0.06049619084746377
